act,prompt
Work sample creator,"I want you to act as a work sample creator: assist me in generating a written work sample, such as a blog post or report, showcasing my skills and knowledge relevant to the role of [Insert Job Title]."
Language skills helper,"I want you to act as a language skills helper: provide basic support for my non-native English language skills, helping me with cultural nuances and language tips for the job application process in the role of [Insert Job Title]."
Reference selection guide,I want you to act as a reference selection guide: offer advice on choosing and approaching the right references to support my job application for the position of [Insert Job Title].
Personal statement mentor,I want you to act as a personal statement mentor: help me draft a personal statement or statement of purpose for a graduate school or fellowship application in my desired field.
Internship advisor,I want you to act as an internship advisor: provide guidance on finding and applying for internships in the [Insert Industry] industry that can build relevant experience and connections.
Freelance work consultant,"I want you to act as a freelance work consultant: offer tips on finding freelance or contract work opportunities, building a client base, and managing a freelancing career in the [Insert Industry] industry."
Skill gap identifier,"I want you to act as a skill gap identifier: help me assess my current skills and qualifications, identify potential gaps, and suggest targeted learning resources to address those areas for the role of [Insert Job Title]."
Job application proofreader,"I want you to act as a job application proofreader: assist me with proofreading my job application materials, checking for grammar, spelling, and formatting errors to ensure a polished and professional submission."
Work-life balance coach,"I want you to act as a work-life balance coach: provide tips and strategies for maintaining a healthy work-life balance during my job search, including setting boundaries, managing time effectively, and prioritizing self-care."
"Resume review, feedback, improvement, job title",Please review my resume and provide feedback to improve it for a [Insert Job Title] position. [Attach Resume]
"Cover letter, tailored, job description, role",Help me write a cover letter tailored to this job description for the role of [Insert Job Title]. [Insert Job Description]
"Job interview, preparation, simulation, common questions, suggested answers","Give me guidance on how to prepare for a job interview for the position of [Insert Job Title], and simulate common interview questions with suggested answers."
"Networking tips, industry, personalized outreach, professional connections","Suggest networking tips for the [Insert Industry] industry, and help me craft a personalized outreach message to connect with professionals in my field."
"Job search resources, platforms, strategies, industry-specific","Identify job search resources, platforms, and strategies specific to the [Insert Industry] industry that can help me find suitable job opportunities."
"Career paths, job roles, industry insights, informed decisions",Provide insights on different career paths and job roles in the [Insert Industry] industry to help me make informed decisions about my job search.
"Salary negotiation, benefits, position",Offer advice on how to effectively negotiate salary and benefits for the position of [Insert Job Title].
"LinkedIn profile, professional summary, job title",Assist me in crafting a professional LinkedIn profile summary tailored for a [Insert Job Title] role.
"Skill enhancement, resources, courses, certifications, qualifications, role","Recommend resources, courses, or certifications to help me enhance my skills and qualifications for the role of [Insert Job Title]."
"Job application management, tracking, reminders, follow-ups, deadlines","Help me manage my job applications, track application status, and create reminders for follow-ups or deadlines."
Professional Summary Composition,"Compose a professional summary outlining my skills, experience, and career objectives."
Leadership Qualities Highlight,Highlight my leadership qualities and management style to show my potential as a team leader.
Key Accomplishments Discussion,"Help me discuss my key accomplishments, success stories, and career milestones for my resume."
LinkedIn Summary Assistance,Assist me in writing a compelling LinkedIn summary to showcase my professional bio and engage my network.
Strengths Identification,Identify key strengths in my profile to emphasize for the position of [Insert Job Title].
Resume Layout Ideas,Provide some creative ideas for an eye-catching resume layout or design.
Skill Enhancement Resources,"Recommend resources, courses, or certifications to help me enhance my skills and qualifications for the role of [Insert Job Title]."
Job Application Management,"Help me manage my job applications, track application status, and create reminders for follow-ups or deadlines."
Cover Letter Composition,Write a persuasive cover letter to accompany my job application for the position of [Insert Job Title].
Networking Tips,Provide tips for networking and building professional relationships in the industry of [Insert Industry].
Interview Preparation,"Assist me in preparing for an interview for the position of [Insert Job Title], including common questions and effective responses."
Company Research,"Help me research the company [Insert Company Name] and understand its culture, values, and expectations."
Interview Questions Suggestions,Provide some potential questions I can ask during a job interview to demonstrate my interest and initiative.
Salary Negotiation Advice,"Offer advice on negotiating a job offer or salary, including strategies and considerations."
Career Goals Reflection,Help me reflect on my career goals and develop a long-term career plan.
Online Portfolio Guidance,Provide guidance on creating an impactful online portfolio or personal website to showcase my work.
Social Media Image Tips,Offer tips on how to maintain a professional image on social media platforms.
Post-interview Thank You Note,Assist me in writing a thank you note or email after a job interview.
Job Rejection Coping Strategies,Provide strategies for coping with job rejection and maintaining a positive attitude during the job search.
Job Offer Evaluation,"Help me evaluate job offers and make informed decisions, considering various factors like salary, benefits, location, work-life balance, etc."
